location,Excel,Excel,Excel,Excel,Excel,Excel,Excel,Excel,Excel,Excel,Excel,Excel,Excel,Excel,Excel,Excel
lat,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319
lon,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500
asl,763.029,763.029,763.029,763.029,763.029,763.029,763.029,763.029,763.029,763.029,763.029,763.029,763.029,763.029,763.029,763.029
variable,Temperature,Relative Humidity,Mean Sea Level Pressure,Precipitation Total,Cloud Cover Total,Cloud Cover High,Cloud Cover Medium,Cloud Cover Low,Sunshine Duration,Shortwave Radiation,Diffuse Shortwave Radiation,FAO Reference Evapotranspiration,CAPE,Wind Speed,Wind Direction,Temperature
unit,°C,%,hPa,mm,%,%,%,%,min,W/m²,W/m²,mm,J/kg,km/h,°,°C
level,2 m elevation corrected,2 m,MSL,sfc,sfc,high cld lay,mid cld lay,low cld lay,sfc,sfc,sfc,2 m,180-0 mb above gnd,10 m,10 m,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
timestamp,Excel Temperature [2 m elevation corrected],Excel Relative Humidity [2 m],Excel Mean Sea Level Pressure [MSL],Excel Precipitation Total,Excel Cloud Cover Total,Excel Cloud Cover High [high cld lay],Excel Cloud Cover Medium [mid cld lay],Excel Cloud Cover Low [low cld lay],Excel Sunshine Duration,Excel Shortwave Radiation,Excel Diffuse Shortwave Radiation,Excel FAO Reference Evapotranspiration [2 m],Excel CAPE [180-0 mb above gnd],Excel Wind Speed [10 m],Excel Wind Direction [10 m],Excel Temperature
20200521T0000,11.448188,96.0,997.2,0.0,100.0,71.0,0.0,100.0,0.0,0.0,0.0,0.0,822.0,11.748815,32.96939,11.6
20200521T0100,11.198188,96.0,996.7,0.2,100.0,74.0,74.0,100.0,0.0,0.0,0.0,0.0,530.0,8.951199,36.528854,11.35
20200521T0200,11.028188,96.0,996.6,0.3,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,417.0,6.874978,35.53766,11.17
20200521T0300,10.878188,96.0,996.1,0.2,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,348.0,4.4097047,25.016876,11.01
20200521T0400,10.688188,96.0,995.0,0.0,100.0,6.0,100.0,100.0,0.0,0.0,0.0,0.0,312.0,4.5366287,3.3664398,10.81
20200521T0500,10.448188,96.0,993.3,0.0,100.0,0.0,51.0,100.0,0.0,0.0,0.0,0.0,242.0,6.6600003,16.260193,10.57
20200521T0600,7.1581883,94.0,996.3,0.9,100.0,0.0,96.0,100.0,0.0,1.78,1.7313138,0.0,357.0,10.847421,24.676865,7.56
20200521T0700,7.2581882,93.0,996.4,1.1,100.0,0.0,100.0,100.0,0.0,16.91,16.361006,0.020174664,302.0,9.014403,34.159683,7.92
20200521T0800,7.458188,93.0,996.0,0.9,100.0,0.0,100.0,100.0,0.0,33.82,33.29181,0.02800513,238.0,6.9926825,49.635452,8.35
20200521T0900,7.748188,93.0,994.7,0.4,100.0,0.0,81.0,100.0,0.0,48.95,48.563747,0.035566546,150.0,6.443357,82.874985,8.69
20200521T1000,8.368188,92.0,993.6,0.1,100.0,0.0,0.0,100.0,0.0,75.65,74.909355,0.04815284,58.0,6.992683,107.74467,9.71
20200521T1100,9.168188,90.0,993.1,0.2,100.0,0.0,0.0,100.0,0.0,100.57,99.47438,0.061397143,0.0,8.4788885,133.72697,10.73
20200521T1200,9.948188,88.0,992.7,0.1,100.0,0.0,0.0,100.0,0.0,124.6,122.98716,0.073975995,0.0,11.797039,154.59229,11.5
20200521T1300,10.368188,86.0,992.4,0.0,100.0,0.0,40.0,100.0,0.0,142.4,140.27664,0.08348257,72.0,15.834561,167.36664,11.63
20200521T1400,10.498188,83.0,992.7,0.3,100.0,0.0,100.0,100.0,0.0,153.97,151.2635,0.09216974,100.0,19.563631,173.74597,11.84
20200521T1500,10.098187,81.0,993.1,0.8,100.0,7.0,100.0,100.0,0.0,175.33,170.65295,0.10027852,94.0,22.658098,177.97864,11.48
20200521T1600,10.338188,77.0,993.2,0.5,100.0,17.0,100.0,100.0,0.0,198.47,190.23999,0.11516091,93.0,22.644,180.0,12.21
20200521T1700,10.598187,73.0,993.2,0.3,100.0,0.0,60.0,100.0,0.0,285.69,197.0988,0.14794506,58.0,21.313665,180.71616,11.78
20200521T1800,10.248188,74.0,993.1,0.0,100.0,0.0,74.0,100.0,0.0,154.86,0.0,0.103447944,59.0,20.57498,184.4556,11.03
20200521T1900,8.368188,86.0,993.0,0.4,100.0,0.0,77.0,100.0,0.0,97.9,0.0,0.058148075,45.0,25.219513,211.17136,9.31
20200521T2000,7.458188,85.0,994.7,0.3,100.0,0.0,58.0,100.0,0.0,54.29,0.0,0.046450075,10.0,27.722246,222.2737,8.01
20200521T2100,6.528188,86.0,996.1,0.2,100.0,0.0,100.0,100.0,0.0,23.14,0.0,0.03437002,0.0,28.459951,226.89651,6.75
20200521T2200,6.358188,84.0,997.3,0.0,100.0,5.0,100.0,100.0,0.0,0.89,0.0,0.017423023,0.0,27.768288,229.27946,6.42
20200521T2300,6.6781883,81.0,998.1,0.0,100.0,55.0,100.0,100.0,0.0,0.0,0.0,0.026297601,0.0,25.139183,229.728,6.57
20200522T0000,6.568188,81.0,999.1,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.024314536,0.0,23.058607,229.6859,6.35
20200522T0100,6.418188,83.0,1000.7,0.0,67.0,100.0,25.0,67.0,0.0,0.0,0.0,0.018864527,0.0,20.75186,228.12213,6.31
